County_FIPS,County,State,Obesity-2019-Percentage,Access to Exercise Opportunities-2020 & 2022-Percent
25015,Hampshire County,Massachusetts,23.2,91.2918648495453
26129,Ogemaw County,Michigan,23.2,49.0948483389504
28097,Montgomery County,Mississippi,23.2,No Data
30039,Granite County,Montana,23.2,37.0504684194621
30097,Sweet Grass County,Montana,23.2,70.3371397498641
37055,Dare County,North Carolina,23.2,70.7652715698226
37137,Pamlico County,North Carolina,23.2,57.6083414793092
41025,Harney County,Oregon,23.2,73.7291527685123
41057,Tillamook County,Oregon,23.2,63.442862358525
46125,Turner County,South Dakota,23.2,35.8584111610746
48165,Gaines County,Texas,23.2,49.5323641077878
48371,Pecos County,Texas,23.2,53.004673204765396
48429,Stephens County,Texas,23.2,67.9156136688276
48433,Stonewall County,Texas,23.2,73.1726907630522
48465,Val Verde County,Texas,23.2,68.6609506997857
08025,Crowley County,Colorado,23.3,2.0938872002702
08033,Dolores County,Colorado,23.3,19.3895098882201
08041,El Paso County,Colorado,23.3,90.11083044106269
12099,Palm Beach County,Florida,23.3,95.6625525820756
13003,Atkinson County,Georgia,23.3,No Data
13111,Fannin County,Georgia,23.3,85.6431928591177
13181,Lincoln County,Georgia,23.3,74.12223667100129
13321,Worth County,Georgia,23.3,37.5721709006928
17109,Mcdonough County,Illinois,23.3,78.963213158088
17173,Shelby County,Illinois,23.3,40.7193901858028
20201,Washington County,Kansas,23.3,32.7305605786618
22041,Franklin Parish,Louisiana,23.3,40.4723374127642
23005,Cumberland County,Maine,23.3,85.1156007377858
29227,Worth County,Missouri,23.3,1.4191586416624
37111,Mcdowell County,North Carolina,23.3,71.7147471847099
37199,Yancey County,North Carolina,23.3,100
38047,Logan County,North Dakota,23.3,2.4520255863539
40045,Ellis County,Oklahoma,23.3,37.1299013070152
40057,Harmon County,Oklahoma,23.3,79.58199356913181
